7123,Zerg,[ENCE]Serral#769:315071
6985,Zerg,IIIIIIIIIIII#13337:7000790
6980,Protoss,IlIlIlIlIlIl#614:4730741
6970,Zerg,llIlIllIllII#431:7736977
6932,Terran,IIIIIIIIIIII#11364:7858301
6930,Zerg,[QLASH]Lambo#295:3437681
6914,Protoss,[TlNG]Neeblet#858:3434150
6900,Terran,[mouz]HeroMarine#321:2361139
6835,Zerg,llllllllllll#11527:8344738
6830,Terran,[PGL]Kelazhur#872:3437982
6816,Protoss,LiquidMaNa#161:377576
6792,Protoss,[ASTsc]Harstem#793:7100931
6791,Protoss,ShoWTimE#462:1430346
6759,Zerg,Reynor#160:1781626
6732,Protoss,[I0C]PtitDrogo#719:1459895
6727,Protoss,lIlIlIlIIIll#772:1995477
6722,Random,IIIIIIIIIIII#13808:2343704
6718,Protoss,IlllIllIIIII#985:8389939
6689,Protoss,[aiaiai]GunGFuBanDa#141:902868
6650,Zerg,lIlIlIlIllll#945:1905225
6640,Protoss,IIIIIIIIIIII#11278:203342
6630,Zerg,[IxGeu]Denver#607:1807245
6625,Terran,demuLarva#568:4682128
6612,Terran,NoxDNoSkill#148:5332187
6611,Zerg,Lambo#431:7604666
6590,Terran,[I0C]soul#1609:5179818
6589,Zerg,llllllllllll#12716:8356412
6586,Zerg,[Blacer]Bly#418:2048063
6556,Protoss,lIlIlIlIlIlI#1804:1674659
6553,Zerg,[IxGeu]Namshar#332:2061089
6552,Terran,llllllllllll#7152:5120685
6552,Protoss,ShaDoWn#628:2255085
6546,Protoss,IIIIIIIIIIII#13431:5629244
6535,Zerg,[I0C]Nerchio#319:788178
6534,Protoss,[Blacer]Strange#775:632713
6522,Protoss,NotoriousLIP#876:6836532
6521,Terran,Ziggy#915:4959211
6507,Zerg,[Gaachi]RiSky#729:1654675
6488,Zerg,[Chivo]Cham#757:3784694
6458,Terran,BeReady#399:6010947
6454,Zerg,IIIIIIIIIIII#12848:8349684
6442,Random,[Blacer]KITor#543:332978
6441,Protoss,IIIIIIIIIIII#13808:2343704
6437,Protoss,[lGERAl]Rail#752:6959050
6429,Protoss,[Blacer]SKillous#848:5357527
6412,Zerg,[TNN]LiquidTLO#481:326029
6410,Protoss,[Wølven]ArT#857:2197701
6408,Protoss,llllllllllll#6881:4207898
6395,Terran,[OGTV]MarineLorD#875:3251967
6393,Zerg,llllllllllll#11467:8214344
6390,Terran,[Wølven]InZaNe#510:1029628
6385,Terran,IlllIIlllII#505:1797916
6380,Zerg,SoulSpirit#338:6006599
6380,Terran,Ziggy#655:1371400
6377,Protoss,llllllllllll#10515:7363525
6373,Protoss,[IxGeu]goblin#741:1237780
6317,Terran,Clem#729:3141896
6294,Zerg,[SТАR]Vanya#913:7055351
6287,Zerg,[3Dǃ]ƎDǃBee#660:221090
6267,Terran,[ATI]XNGToxic#552:2558083
6259,Terran,IIIIllIIIIIl#828:1159243
6252,Terran,[SТАR]Kas#980:2510474
6247,Protoss,llllllllllll#9722:2264246
6237,Protoss,Ayhtdws#572:7924340
6235,Zerg,ShoWTimE#462:1430346
6222,Protoss,[ТРЕНИМ]Nastya#726:2128105
6218,Terran,llllllllllll#12160:8107350
6209,Zerg,[aAa]Crow#1237:1595050
6187,Terran,Dream#1837:7901004
6187,Terran,Pepega#537:4833064
6185,Terran,lIllllllllll#659:2162213
6182,Zerg,GoatTomBrady#170:5045338
6177,Zerg,moooooooo#610:8584829
6176,Zerg,llllllllllll#8860:6787835
6173,Protoss,IIIIIIIIII#1143:8091825
6172,Protoss,[ePunks]SpaceMarine#132:1040453
6159,Protoss,Marsman#907:661679
6159,Zerg,yay#408:8550059
6157,Zerg,Ryu#836:1329317
6151,Protoss,AlphaStrea#239:3435907
6146,Protoss,[ICGl]itsRemake#739:8293328
6140,Protoss,[Blacer]Geralt#123:2442194
6139,Protoss,IIIIIIIIIIII#7312:5891031
6128,Zerg,ZergOP#729:7512427
6120,Terran,[iSeb]llllllllllll#9860:1260740
6108,Zerg,eksdee#725:7269082
6107,Protoss,[Wolven]maynard#626:6721664
6106,Zerg,[DéKá]TomikuS#264:1874030
6104,Zerg,[IxGeu]JonnyREcco#422:251305
6103,Zerg,llllllllllll#11245:2187902
6102,Protoss,llllllllllll#12481:8533798
6101,Protoss,llllllllllll#12195:8456743
6101,Protoss,IIIIIIIIIIII#12985:8364478
6100,Protoss,llllllllllll#2701:3908242
6098,Protoss,llllllllllll#8628:6890538
6097,Zerg,[Wølven]Nitix#337:2244376
6097,Protoss,IIIIIIIIIIII#11845:1818699
6097,Protoss,IIIIIIIIIIII#13560:4110460
6095,Terran,[Blacer]Awers#543:427877
6095,Protoss,Margaery#155:8280908
6094,Protoss,[ECV]Cooltea#707:1114773
6091,Protoss,puCK#864:3585588
6089,Protoss,[I0C]FightingFrog#829:1809049
6088,Protoss,[I0C]Krystianer#799:5550729
6087,Zerg,NerfZerg#343:8513044
6076,Terran,llIlIIlIlIIl#233:7156330
6075,Random,[QTcIub]Beastyqt#140:1483990
6074,Terran,[ICGl]ShimOon#984:1275706
6074,Zerg,Tatakae#595:3690293
6070,Zerg,[Rеal]Wardi#425:7725997
6069,Terran,lIIIllIllIll#644:8267595
6063,Zerg,Shino#527:4938651
6057,Terran,llllllllllll#8712:2723404
6056,Protoss,[Wølven]Rodzyn#573:1370424
6055,Zerg,[ePunks]Spazymazy#443:2104339
6054,Protoss,Raze#810:3554219
6052,Protoss,demuLarva#568:4682128
6049,Zerg,IIIIIIIIIIII#9356:6893041
6036,Terran,Twine#682:5212746
6034,Zerg,MONSTER#1129:7218556
6030,Terran,[TerBHD]Azazel#143:202004
6027,Zerg,llllllllllll#9543:6154103
6027,Terran,[BABØØN]NaTerran#718:7197849
6027,Protoss,Kaiji#650:7791692
6023,Zerg,ZhuGeLiang#963:173858
6017,Protoss,[DuStEU]EnigmA#1835:269097
6016,Zerg,Pororoca#796:8287427
6016,Terran,[PSISTM]Epic#565:3436204
6012,Protoss,[Blacer]PAPI#804:2256208
6012,Zerg,Minatoeh#558:869887
6011,Terran,[3Dǃ]Unix#944:172307
6010,Terran,llllllllllll#9129:7329715
6008,Terran,IlIlIlIlIlIl#1961:7169134
6003,Zerg,[Blacer]KITor#543:332978
6000,Protoss,lIlIlIlIlIlI#363:4236868
6000,Protoss,[RеG]GeNieS#681:2185834
6000,Terran,Haidar#170:1492648
5997,Zerg,[BnetFR]LeFaucheur#610:3349124
5997,Terran,[AlpX]Uzikoti#315:259012
5996,Protoss,IlIlIlIlIlIl#1555:8195587
5993,Terran,Hopt#699:4954533
5986,Zerg,llllllllllll#11629:2280654
5982,Zerg,[AlpX]Mamba#482:2778901
5974,Protoss,IIIIIIIIIIII#11406:6514230
5972,Protoss,IIIIIIIIIIII#11423:2097347
5970,Protoss,IIIIIIIIII#1633:4589211
5963,Terran,IIIIIIIIIIII#10275:7870187
5961,Terran,[Blacer]ZipperTheFly#920:1056703
5959,Protoss,[I0C]FrisK#469:880117
5959,Protoss,IlIlIlIlIlIl#1540:7505334
5954,Zerg,[SAMO]Hieronymus#391:1901925
5949,Terran,[Wølven]Avokado#123:347395
5949,Protoss,[IndyK]Indy#230:665988
5947,Zerg,[I0C]MaLiBu#361:7284017
5943,Protoss,IIIIIIIII#415:7096331
5943,Protoss,[3Dǃ]Couguar#505:2357652
5941,Protoss,llllllllllll#7978:2157467
5937,Terran,[ePunks]RazerBlader#448:293913
5935,Terran,[Wølven]Wanderer#969:3174288
5932,Terran,[ORACL3]jheffe#929:4937072
5931,Zerg,[Temp0]NoNLoSo#507:7615664
5928,Terran,IIIIIIIIIIII#13467:2345832
5926,Terran,[NAplyr]Cuddlebear#580:3479647
5926,Protoss,[I0C]TheMusZero#814:2033950
5926,Zerg,[ROOT]NoRegreT#951:2779676
5923,Terran,[ARC4]Ricus#545:2473685
5922,Terran,[FoFoG]GamerRichy#316:3047941
5919,Zerg,Antis#574:5003706
5919,Zerg,[PMǂ]nExt#740:6893845
5916,Zerg,[Blacer]Basset#323:4853929
5915,Protoss,Clem#729:3141896
5912,Zerg,[Ǽ1]RVP#855:7688865
5910,Zerg,Zervas#300:2976919
5904,Protoss,[DHiWe]MightyThor#919:126257
5901,Terran,IIIIIIIIIIII#13972:8150271
5896,Protoss,[RevoGG]FeaR#1335:2205993
5893,Protoss,[IxGeu]uniQFazer#998:1962748
5882,Zerg,IlIlIlIlIlIl#1940:2189576
5880,Protoss,Drager#152:2373335
5878,Protoss,oliM#346:5302331
5876,Terran,llIlIIlIIlll#783:2088786
5875,Terran,[QLASH]Lambo#295:3437681
5871,Zerg,[BlackN]eGGz#883:3886275
5868,Protoss,IIIIIIIIIIII#8767:6558708
5867,Zerg,[TEAMxd]Habibi#614:3434999
5866,Zerg,IIIIIIIII#355:3257655
5865,Zerg,[AlpX]Bioice#223:3890234
5865,Terran,Mengsk#197:4825158
5863,Zerg,llllllllllll#5548:4446766
5863,Protoss,Couchpotato#601:8113069
5860,Zerg,IIIIIIIIIIII#13342:2175786
5860,Zerg,[lMMl]PuPu#243:1283855
5858,Zerg,Alishar#951:8302070
5855,Zerg,llllllllllll#12517:8232003
5853,Protoss,[I0C]spaz#972:5682287
5847,Zerg,llllllllllll#12301:326971
5847,Protoss,WhiskeyJack#235:6487696
5839,Protoss,[GŁ]Rom#968:1369924
5835,Zerg,lIIIlIIlIIll#311:2193543
5834,Zerg,IIIIIIIIIIII#9256:7032319
5833,Zerg,[JAREK]Daniel#6832:7446154
5833,Zerg,Mantis#157:1706107
5832,Random,IIIIIIIIII#1275:3862234
5832,Protoss,[PMǂ]JustLikeFire#999:1749753
5827,Protoss,llllllllllll#12189:2326160
5825,Protoss,lllllllllll#1356:1116164
5824,Zerg,[aAa]MiNiMaTh#100:2537221
5823,Terran,[I0C]Snowden#720:1697199
5821,Terran,[IxGeu]Denver#607:1807245
5821,Protoss,[QLASH]RotterdaM#869:2007306
5820,Terran,[CSI]MystiC#198:1121143
5817,Zerg,MasterKronk#423:949593
5815,Zerg,AlphaStar#718:4665875
5814,Protoss,[TDKpro]HolyHit#964:585806
5814,Zerg,Child#582:8563524
5812,Protoss,llllllllllll#11928:2260008
5811,Protoss,KluGhorNi#498:3408583
5811,Terran,[SТАR]MODEUS#891:789577
5811,Zerg,IlIIIIIllI#480:8532262
5810,Zerg,llllllllllll#12569:787074
5810,Zerg,Susanoo#324:8532146
5808,Protoss,llllllllllll#10368:7701063
5807,Protoss,IIIIIIIIIIII#13415:5203929
5806,Zerg,PhoenixJones#236:8257830
5806,Terran,lIlIlIlIlIlI#1291:4305650
5805,Zerg,Ryosis#780:5437010
5804,Zerg,Flamestrike#437:3513888
5804,Terran,TheViRuS#987:7654437
5804,Zerg,[ICGl]Ayaka#898:8177406
5803,Zerg,[EDEsøw]rotab#219:609193
5801,Zerg,[IBeAŚI]Forescene#327:2594743
5801,Protoss,[4b63]IlIlIlIlIlIl#1434:8400051
5800,Terran,llllllllllll#6674:5359984
5797,Zerg,llllllllllll#12972:8473896
5795,Protoss,[IBeAŚI]MSMSMSM#491:3343321
5793,Zerg,[DМG]KoreanBoy#188:2048289
5787,Protoss,[IxGeu]Namshar#332:2061089
5786,Protoss,[3Dǃ]Lightweight#391:1821448
5783,Protoss,llllllllllll#9978:6747710
5781,Zerg,llllllllllll#12119:4437093
5780,Protoss,EAZY#879:7084066
5774,Protoss,FunK#925:841839
5772,Protoss,IlIlIlIlIlIl#1578:8009600
5771,Terran,lllIIIlllIII#220:7955055
5769,Protoss,[НТТ]МакЗиро#875:1224379
5768,Protoss,[BST0K]Sebastianer#341:6512991
5768,Terran,Minho#602:8016220
5767,Protoss,BMG#465:8268825
5767,Zerg,HaNfy#267:502603
5765,Zerg,[3Dǃ]GhostHell#907:928712
5765,Terran,[MtS]GoOdy#592:172010
5761,Protoss,llIlIllIllII#560:8441935
5760,Zerg,Nobody#1315:7137263
5755,Protoss,[Wølven]Kenshin#577:2579913
5754,Terran,[lDOl]kauP#373:788044
5747,Zerg,[I0C]Freeman#1386:390740
5744,Zerg,IIIllIIIllII#554:4832056
5744,Protoss,[FREEEE]PatrickDils#982:6961544
5740,Zerg,CaCaHuaTe#274:7819046
5740,Zerg,Yggdrasil#454:7854385
5736,Zerg,IIIIIIIIIIII#11915:7306355
5736,Terran,[НТТ]Matvey#803:1184159
5730,Zerg,[AlpX]hinO#833:6722837
5726,Zerg,IIIIIIIIII#1419:8130940
5726,Protoss,IIIIIIII#804:5865907
5725,Terran,Chess#913:1605497
5724,Protoss,Tero#322:8313175
5724,Terran,[Wølven]LizaMoneta#256:685881
5723,Terran,[AlpX]ObbFlyQty#390:1966110
5722,Terran,[I0C]WoodedMicrob#495:3873587
5720,Zerg,[CRUX]Lancel#356:1796856
5720,Zerg,[DuStEU]KinG#2520:2214249
5720,Zerg,[ИТТ]ТётяЛиза#765:3981171
5719,Zerg,[PMǂ]nExt#209:2199720
5717,Protoss,[MirG]Ninja#424:3773135
5716,Protoss,Delking#357:8573899
5716,Random,[Hørnyy]LadyMusti#700:8255778
5715,Protoss,[WRush]Qlitoris#116:1499542
5715,Zerg,FreDae#953:1645359
5714,Protoss,llllllllllll#8363:2018854
5713,Protoss,SayGGtoPapa#816:7367041
5713,Zerg,[RGAN]Railgan#253:495370
5707,Protoss,IIIIIIIIII#1161:3612813
5707,Protoss,[aW]LeMorse#481:1170905
5706,Protoss,[OoE]Excalibur#384:2602381
5705,Protoss,[НТТ]slshrz#167:1050596
5703,Protoss,[НТТ]RinKokonoe#892:810836
5702,Protoss,Illusion#181:8553134
5702,Protoss,Drager#924:5173240
5700,Zerg,llllllllllll#6853:302404
5700,Protoss,IIIIIIIIIIII#13179:2977888
5699,Protoss,Linley#359:7442251
5698,Terran,Illusion#181:8553134
5694,Terran,[RavenZ]University#831:5206018
5691,Protoss,SpaceDandy#195:1099210
5691,Terran,[SLAAAP]urdedkid#139:6450412
5691,Zerg,[UATeam]BraneloB#353:7104113
5687,Terran,Riddler#252:8128140
5685,Terran,Тамада#556:7490617
5685,Protoss,[С3КСИ]Numi#949:2271684
5683,Terran,[MBC]Botvinnik#570:736473
5682,Protoss,[Hаsu]MindelVK#789:2195908
5681,Protoss,Ace#3334:7913301
5681,Protoss,Neo#3644:7931845
5681,Zerg,Snitchables#727:1720029
5680,Zerg,[eW0lfz]aGaham#519:3298750
5679,Protoss,llllllllllll#11527:8344738
5679,Protoss,IIIIIIIIIIII#13438:8324957
5678,Terran,Syrena#220:7409064
5672,Zerg,[OGTV]YoGo#124:260617
5671,Protoss,llllllllllll#10892:7763224
5669,Zerg,Ptak#572:1591174
5668,Terran,llllllllllll#8171:841010
5667,Zerg,Computer#497:759646
5666,Zerg,IIIIIIIIIIII#13808:2343704
5666,Protoss,llllllllllll#11368:7173526
5665,Terran,Moha#321:12559
5665,Protoss,[FoFoG]Multi#399:266480
5662,Protoss,[I0C]Alluton#681:4798853
5660,Protoss,llllllllllll#11610:2236120
5660,Protoss,RaiN#1280:7134139
5660,Protoss,NemDealer#673:226052
5660,Zerg,[Wølven]Nolimit#859:2874247
5660,Protoss,Barcode#1220:8317086
5658,Terran,BoxeR#901:8426610
5658,Protoss,JeanMarineRC#620:2071754
5657,Zerg,SamSharp#955:8342776
5656,Terran,TAclick#555:1813033
5656,Zerg,[Rеal]Wardi#682:7674462
5655,Terran,IIIIIIIIIIII#12607:8377292
5654,Terran,[Cladoq]HeltEn#456:6188557
5653,Protoss,[SlapMe]SlaveChair#619:7574432
5652,Protoss,JaCkal#1883:2192751
5650,Terran,[EESC]Rote#295:1074630
5650,Protoss,SCREAM#411:353982
5649,Protoss,[Judy]JudgeJudy#595:8043720
5649,Protoss,[DuStEU]Blask#264:2459791
5648,Protoss,Tarrantius#691:2470369
5648,Terran,[RAUDER]MARAUDER#109:8243235
5648,Protoss,[PMǂ]freizy#259:1587171
5648,Terran,Vermillion#733:1676612
5647,Zerg,[VFish]Aelith#845:2502605
5647,Protoss,AshCrow#785:6842971
5645,Protoss,[SC2Bro]MaxPax#536:3167602
5644,Terran,[pSi]Sicario#178:4480048
5642,Terran,TreeSap#466:1628260
5641,Terran,[AlpX]BuRning#685:3906598
5640,Terran,[RavenZ]BALTIMORE#381:2046159
5640,Terran,Meepo#451:8585484
5639,Terran,[eW0lfz]Djorjx#232:3310725
5639,Protoss,IIIIIIIIIIII#13984:2072351
5637,Zerg,[3Dǃ]SunSet#646:1037514
5636,Protoss,[nB]Lind#547:1461040
5635,Zerg,Sniper#1337:7171007
5634,Zerg,lIlIlIlIlIlI#1670:4541521
5634,Protoss,IIIIIIIIIIII#13304:1176870
5632,Protoss,[IBeAŚI]BageTT#794:1300047
5631,Terran,SteveNormal#295:8557194
5631,Terran,Tikky#956:8582180
5631,Terran,[PMǂ]LadderManRon#560:773388
5630,Terran,frozz#887:1877731
5629,Terran,[INFED]GuSty#695:2816826
5629,Zerg,DaiCapra#897:232981
5627,Protoss,SomeGuy#977:8560227
5627,Terran,Damianer#562:8335821
5626,Zerg,hero#2824:8290355
5626,Terran,IIIIIIIIIIII#10861:7611829
5625,Terran,Jeroen#248:8152694
5624,Zerg,Missouri#242:3875937
5623,Terran,[I0C]ZertoN#694:2570466
5623,Protoss,MyGRAiN#920:3497433
5622,Protoss,[Нasu]removehasu#967:1910690
5621,Protoss,Antis#574:5003706
5620,Terran,IIIIIIIIIIII#13322:8568585
5620,Terran,AstroToniTV#748:5018895
5619,Zerg,[TerBHD]kiyj#247:1995202
5619,Protoss,[RBlood]bigmonster#107:1210292
5614,Protoss,llllllllllll#12503:8495234
5613,Protoss,Reynor#160:1781626
5611,Protoss,OneAutumLeaf#788:6864148
5611,Terran,Djx#656:7719442
5610,Terran,[RavenZ]IIIIIIIIIIII#10561:7473439
5609,Zerg,isaac#1222:855179
5607,Protoss,amx#963:3059402
5606,Protoss,[Hørnyy]LadyMusti#700:8255778
5605,Protoss,llllllllllll#9119:4049919
5602,Zerg,Lilac#830:8438313
5600,Zerg,sLivko#189:1173786
5599,Zerg,[Blacer]Gremory#911:3050176
5599,Zerg,Lisandro#255:298863
5597,Protoss,KineskiKuhar#954:7330821
5597,Zerg,[GROF]FonikosGypas#699:4253347
5596,Terran,[lMMl]Luolis#322:2486813
5596,Protoss,[Temp0]Bonjwa#571:665399
5595,Terran,GoldenMean#817:2290088
5593,Zerg,[VuV]ACAZ#781:6679970
5592,Terran,FuZeRxd#800:7858224
5591,Protoss,[Wolven]YenFu#371:5273427
5590,Zerg,[StalkZ]iŁSêlena#774:2060886
5589,Zerg,[erdig]Humusschicht#312:2744514
5584,Protoss,[ponу]PinkiePie#541:984542
5584,Protoss,[Blacer]RedFactor#132:1138303
5584,Zerg,IIIIIIIIIIII#13690:2165621
5583,Zerg,[KFCnig]РОЗКУРВИАЧ#831:7996860
5579,Terran,ghasT#306:319529
5577,Protoss,[IBeAŚI]Rhoust#864:2053934
5577,Protoss,IlIIIIlIIlIl#164:3313372
5573,Zerg,[GВCliq]SeshGremlin#207:6893994
5572,Zerg,TheZergLord#326:3851091
5570,Zerg,IIIIIIIIIII#1691:1746714
5567,Protoss,Sparkuling#316:2306784
5565,Terran,IIIIIIIIIIII#13676:2188427
5564,Random,[ASTsc]Harstem#793:7100931
5563,Terran,IIIIIIIIIIII#13344:8222879
5562,Protoss,[K0mpis]Gunbuster#115:255633
5559,Protoss,[WokdoN]SchwammKopF#869:7691432
5559,Terran,[EXEED]RAiNMakeR#863:5267744
5559,Terran,TeslaTank#312:8193604
5557,Protoss,Bockwurst#351:2046815
5557,Zerg,[RPTRMX]Andrew#3281:2192528
5553,Protoss,IIIIIIIIIIII#4508:4867092
5553,Zerg,Entropic#437:39268
5551,Protoss,[С3КСИ]Btmn#377:2066767
5549,Terran,Reynor#160:1781626
5549,Protoss,[Wølven]InZaNe#510:1029628
5548,Terran,llllllllllll#11791:8360181
5548,Terran,[Xa]LaWeedaLoca#332:3670967
5547,Protoss,[I0C]soul#1609:5179818
5544,Protoss,[Blacer]Ziomek#537:4370293
5543,Terran,dropBabulek#368:2303686
5543,Protoss,llllllllllll#12443:2323495
5542,Protoss,[BlackN]Nerazimlet#991:4143155
5540,Terran,Kavaika#459:1850353
5539,Terran,PARAMORE#779:8266800
5538,Zerg,Polukaser#289:3203917
5536,Zerg,Illlllllllll#791:1776319
5535,Zerg,[pečivo]ZávinMakový#453:8577770
5534,Zerg,Onslaught#414:2832376
5533,Terran,[DuStEU]Vindicta#636:3692501
5533,Protoss,Riddler#252:8128140
5531,Zerg,[SqAUT]Tactyle#313:1927086
5531,Zerg,[FoFoG]AsTeR#751:1276353
5529,Terran,IIIIIIIIIIII#12178:8300878
5529,Zerg,[OGTV]Baguette#877:7180548
5528,Zerg,Tadanga#214:1999147
5525,Zerg,llllllllllll#2251:2759432
5524,Protoss,[ØC]Viipers#447:2399236
5523,Terran,[G8WAY]Aggression#129:2473061
5522,Protoss,[QLASH]Lambo#295:3437681
5522,Zerg,[АDV]Overpass#482:6916191
5522,Zerg,matt#2444:2383729
5519,Terran,[PLA2N]Bleak#585:4141972
5518,Zerg,Nano#1504:3439838
5518,Terran,llllllllllll#11114:8294013
5517,Zerg,[AlpX]storm#2865:5797005
5517,Terran,[Il1lI]Arnak#204:657403
5517,Terran,llllllllllll#12417:8335653
5516,Zerg,Boris#1857:4270815
5516,Terran,Creed#137:219963
5515,Zerg,[ØC]laplap#563:1848549
5514,Terran,SMOrc#514:7698223
5514,Zerg,FaithSC#225:8557400
5513,Terran,lIlIllIIllII#392:8418517
5513,Protoss,nOOn#464:7910032
5512,Protoss,wenez#228:3962931
5512,Zerg,[I0C]FightingFrog#829:1809049
5512,Protoss,IlIlIlIlIlIl#1681:8027620
5512,Zerg,ViBE#853:3557251
5511,Terran,GoOdyFaN#789:2230552
5511,Protoss,IlIlIlIlIlIl#1664:5724926
5511,Protoss,Warbringer#518:8026846
5510,Terran,[ATII]CRONOS#1630:5391375
5509,Zerg,Conflict#134:1950580
5508,Zerg,Twine#682:5212746
5508,Terran,[RCHES]IIIIIIIIIIII#13347:2589305
5508,Zerg,Lotzenfecker#148:277709
5505,Protoss,KidziaK#286:405449
5503,Terran,TopGun#187:5460219
5501,Terran,[FugU]teilo#691:896984
5501,Zerg,[AlpX]Matiz#759:246518
5500,Zerg,[I0C]Splesh#334:777633
5500,Zerg,AlphaStar#202:350770
5499,Protoss,Rhizer#155:4955102
5498,Zerg,Justinian#635:8360124
5497,Zerg,IIIIIIIIIIII#13851:7789359
5497,Zerg,CleitonRasta#657:2309782
5496,Zerg,Skies#206:2280971
5496,Random,[aAa]PsiOniC#316:764413
5496,Terran,Sayonara#497:289464
5495,Zerg,[I0C]Sasquatch#868:3476977
5495,Terran,llllllllllll#10664:7782354
5494,Zerg,Yuzuru#246:8586979
5493,Protoss,IIIIIIIIII#1515:7445406
5492,Protoss,ColonelK#109:2257515
5491,Terran,[С3КСИ]IlPrincipino#939:2696816
5491,Zerg,[lookFT]Pika#670:2453613
5489,Terran,ergnaSiMebeB#171:2305807
5485,Zerg,GhostKiller#677:7267844
5484,Zerg,IlIIIlIIIlII#813:7454745
5484,Protoss,VirtutiTotal#413:7547588
5483,Terran,IIIIIIIIIIII#13857:7986093
5481,Protoss,TcUltimate#196:1620842
5481,Protoss,[PT]Infinity#1592:1847100
5481,Zerg,[PMǂ]DismalSmoke#238:1450111
5480,Terran,[С3КСИ]SuGaRBuNNY#811:1348419
5480,Terran,Milant#470:2649478
5478,Zerg,llllIIIlllII#689:2687327
5475,Zerg,[ROOT]Neuro#743:3806282
5475,Terran,[FoFoG]Hopeless#890:319850
5474,Protoss,SnowyOwl#515:8493492
5474,Terran,IIIIIIIIIIII#13712:8534603
5473,Protoss,[CSI]MoonBeam#763:2197404
5473,Zerg,[GВCliq]witchblades#718:6802842
5472,Protoss,IIIIIIIIIIII#13186:6757549
5470,Zerg,[PMǂ]lumpas#577:282957
5469,Zerg,IIIIIIIIIIII#11394:2215071
